segment,hit_at_k,precision_at_k,recall_at_k,ndcg_at_k,map_at_k,diversity,novelty
regular,1.0,0.4,0.6666666666666666,0.4367467095119258,0.41666666666666663,1.0,1.0
struggling,1.0,0.4,0.6666666666666666,0.6713860725233041,0.75,1.0,0.8
regular,1.0,0.6,1.0,0.8854598815714874,0.7555555555555555,1.0,1.0
regular,1.0,0.2,0.3333333333333333,0.23463936301137822,0.3333333333333333,1.0,1.0
struggling,1.0,0.2,0.3333333333333333,0.20210734650054757,0.25,1.0,0.6
regular,1.0,0.2,0.3333333333333333,0.23463936301137822,0.3333333333333333,1.0,0.8
struggling,1.0,0.4,0.6666666666666666,0.6713860725233041,0.75,1.0,0.6
regular,1.0,0.4,0.6666666666666666,0.6713860725233041,0.75,1.0,0.8
regular,1.0,0.6,1.0,0.7122630665145961,0.5888888888888889,1.0,1.0
struggling,1.0,0.4,0.6666666666666666,0.6713860725233041,0.75,1.0,0.8
regular,1.0,0.2,0.3333333333333333,0.20210734650054757,0.25,1.0,1.0
struggling,1.0,0.4,0.6666666666666666,0.41618115554873086,0.3666666666666667,1.0,0.8
regular,1.0,0.2,0.3333333333333333,0.20210734650054757,0.25,1.0,0.8
regular,1.0,0.6,1.0,0.8854598815714874,0.7555555555555555,1.0,1.0
regular,1.0,0.4,0.6666666666666666,0.7039180890341347,0.8333333333333333,1.0,0.8
regular,1.0,0.4,0.6666666666666666,0.7039180890341347,0.8333333333333333,1.0,0.8
regular,1.0,0.2,0.3333333333333333,0.23463936301137822,0.3333333333333333,1.0,0.6
struggling,1.0,0.4,0.6666666666666666,0.7039180890341347,0.8333333333333333,1.0,0.8
struggling,1.0,0.4,0.6666666666666666,0.6508205185601091,0.7,1.0,0.8
regular,1.0,0.4,0.6666666666666666,0.7039180890341347,0.8333333333333333,1.0,0.8
regular,1.0,0.4,0.6666666666666666,0.7039180890341347,0.8333333333333333,1.0,0.8
regular,1.0,0.4,0.6666666666666666,0.7039180890341347,0.8333333333333333,1.0,1.0
regular,1.0,0.6,1.0,0.8529278650606567,0.7000000000000001,1.0,1.0
struggling,1.0,0.4,0.6666666666666666,0.6713860725233041,0.75,1.0,0.8
regular,1.0,0.2,0.3333333333333333,0.23463936301137822,0.3333333333333333,1.0,0.8
